employee_id,name,age,gender,department,salary,years_of_experience,performance_score,hire_date
46,Employee 46,41,Male,Sales,93208,15,84,2010-06-15 15:16:21.818181824
47,Employee 47,49,Female,Engineering,63828,36,89,2010-09-08 11:52:43.636363648
48,Employee 48,28,Female,Marketing,48711,21,86,2010-12-02 08:29:05.454545472
49,Employee 49,29,Female,Marketing,33420,28,13,2011-02-25 05:05:27.272727296
50,Employee 50,56,Male,Engineering,30301,13,59,2011-05-21 01:41:49.090909056
51,Employee 51,35,Male,Marketing,75236,27,19,2011-08-13 22:18:10.909090880
52,Employee 52,38,Male,Engineering,96235,4,49,2011-11-06 18:54:32.727272704
53,Employee 53,57,Male,Finance,84240,29,100,2012-01-30 15:30:54.545454528
54,Employee 54,61,Male,Engineering,95726,4,12,2012-04-24 12:07:16.363636352
55,Employee 55,25,Male,Engineering,40492,11,61,2012-07-18 08:43:38.181818176
56,Employee 56,23,Male,Marketing,36102,15,19,2012-10-11 05:20:00.000000000
57,Employee 57,27,Female,Marketing,80336,25,76,2013-01-04 01:56:21.818181824
58,Employee 58,63,Male,HR,115314,25,9,2013-03-29 22:32:43.636363648
59,Employee 59,25,Female,HR,56641,20,71,2013-06-22 19:09:05.454545472
60,Employee 60,50,Male,Finance,64584,38,28,2013-09-15 15:45:27.272727232
61,Employee 61,39,Male,HR,62745,35,78,2013-12-09 12:21:49.090909056
62,Employee 62,47,Male,Engineering,53093,32,95,2014-03-04 08:58:10.909090880
63,Employee 63,55,Female,Marketing,96105,29,52,2014-05-28 05:34:32.727272704
64,Employee 64,31,Female,HR,81885,36,83,2014-08-21 02:10:54.545454528
65,Employee 65,57,Female,HR,66631,22,16,2014-11-13 22:47:16.363636352
66,Employee 66,35,Female,Finance,102991,9,69,2015-02-06 19:23:38.181818176
67,Employee 67,52,Male,Finance,34014,4,99,2015-05-02 16:00:00.000000000
68,Employee 68,36,Female,Engineering,41093,35,12,2015-07-26 12:36:21.818181824
69,Employee 69,29,Male,Marketing,48070,33,25,2015-10-19 09:12:43.636363648
70,Employee 70,35,Male,Finance,65777,30,52,2016-01-12 05:49:05.454545472
71,Employee 71,44,Female,HR,86958,9,85,2016-04-06 02:25:27.272727232
72,Employee 72,61,Female,Marketing,112074,18,100,2016-06-29 23:01:49.090909056
73,Employee 73,42,Female,Marketing,40729,31,53,2016-09-22 19:38:10.909090880
74,Employee 74,37,Female,HR,75017,0,23,2016-12-16 16:14:32.727272704
75,Employee 75,39,Female,Finance,96320,4,16,2017-03-11 12:50:54.545454528
76,Employee 76,45,Female,HR,57751,3,57,2017-06-04 09:27:16.363636352
77,Employee 77,47,Female,Marketing,108069,15,39,2017-08-28 06:03:38.181818176
78,Employee 78,46,Female,Sales,84748,23,53,2017-11-21 02:40:00.000000000
79,Employee 79,62,Male,Sales,35801,15,42,2018-02-13 23:16:21.818181824
80,Employee 80,50,Female,Engineering,49190,1,58,2018-05-09 19:52:43.636363648
81,Employee 81,36,Female,HR,79689,27,39,2018-08-02 16:29:05.454545408
82,Employee 82,22,Male,HR,80993,31,14,2018-10-26 13:05:27.272727296
83,Employee 83,46,Female,Engineering,59592,26,95,2019-01-19 09:41:49.090909056
84,Employee 84,28,Male,Engineering,40647,19,5,2019-04-14 06:18:10.909090944
85,Employee 85,30,Male,Engineering,38716,23,35,2019-07-08 02:54:32.727272704
86,Employee 86,45,Female,Marketing,118891,11,87,2019-09-30 23:30:54.545454592
87,Employee 87,22,Male,HR,117545,34,93,2019-12-24 20:07:16.363636352
88,Employee 88,29,Male,Marketing,119912,32,75,2020-03-18 16:43:38.181818112
89,Employee 89,45,Male,Engineering,100316,32,18,2020-06-11 13:20:00.000000000
90,Employee 90,32,Male,HR,32368,36,76,2020-09-04 09:56:21.818181760
91,Employee 91,38,Female,Marketing,107575,11,9,2020-11-28 06:32:43.636363648
92,Employee 92,29,Male,Marketing,36655,2,74,2021-02-21 03:09:05.454545408
93,Employee 93,56,Female,Engineering,100031,0,58,2021-05-16 23:45:27.272727296
94,Employee 94,56,Male,HR,106429,32,17,2021-08-09 20:21:49.090909056
95,Employee 95,54,Male,Engineering,117922,39,7,2021-11-02 16:58:10.909090944
96,Employee 96,26,Male,HR,85766,9,46,2022-01-26 13:34:32.727272704
97,Employee 97,63,Male,Sales,43403,28,13,2022-04-21 10:10:54.545454592
98,Employee 98,60,Female,Finance,62097,12,40,2022-07-15 06:47:16.363636352
99,Employee 99,62,Female,Finance,108657,11,42,2022-10-08 03:23:38.181818112
100,Employee 100,49,Male,Finance,40966,30,9,2023-01-01 00:00:00.000000000
